fichero,url,delta_sg,calificacion
20250203_28028374_IES DIONISIO AGUADO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.dionisioaguado.fuenlabrada/,-1.230387,9.59
20250203_28028374_IES DIONISIO AGUADO_url_web_NTP.json,http://www.educa.madrid.org/ies.dionisioaguado.fuenlabrada,-0.95275,9.68
20250203_28028404_IES BUTARQUE_url_aula_NTP.json,https://aulavirtual34.educa.madrid.org/ies.butarque.leganes/,-0.996561,9.67
20250203_28028404_IES BUTARQUE_url_web_NTP.json,http://www.educa.madrid.org/ies.butarque.leganes,64.422621,0
20250203_28028428_IES AVENIDA DE LOS TOREROS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.avenidadelostor.madrid/,-1.097575,9.63
20250203_28028428_IES AVENIDA DE LOS TOREROS_url_web_NTP.json,http://www.educa.madrid.org/ies.avenidadelostor.madrid,-1.431252,9.52
20250203_28028431_IES MARIANO JOSE DE LARRA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.larra.madrid/,-0.923168,9.69
20250203_28028431_IES MARIANO JOSE DE LARRA_url_web_NTP.json,http://www.educa.madrid.org/ies.larra.madrid,65.526313,0
20250203_28028453_IES LA ESTRELLA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.laestrella.madrid/,-1.119544,9.63
20250203_28028453_IES LA ESTRELLA_url_web_NTP.json,http://www.educa.madrid.org/ies.laestrella.madrid,0.563396,9.81
20250203_28028465_IES SAN JUAN BAUTISTA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.sanjuanbautista.madrid/,-0.891571,9.7
20250203_28028465_IES SAN JUAN BAUTISTA_url_web_NTP.json,http://www.educa.madrid.org/ies.sanjuanbautista.madrid,-0.783109,9.74
20250203_28028477_IES JAIME VERA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.jaimevera.madrid/,-0.623525,9.79
20250203_28028477_IES JAIME VERA_url_web_NTP.json,http://www.educa.madrid.org/ies.jaimevera.madrid,62.703579,0
20250203_28028568_IES MANUEL DE FALLA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.manueldefalla.mostoles/,-1.128106,9.62
20250203_28028568_IES MANUEL DE FALLA_url_web_NTP.json,http://www.educa.madrid.org/ies.manueldefalla.mostoles,-1.326305,9.56
20250203_28028571_IES LAS ROZAS I_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.uno.lasrozas/,-1.458501,9.51
20250203_28028571_IES LAS ROZAS I_url_web_NTP.json,http://www.educa.madrid.org/ies.uno.lasrozas,-0.758022,9.75
20250203_28028611_IES GONZALO TORRENTE BALLESTER_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.torrenteballest.sansebastian/,-1.302667,9.57
