fichero,url,dias_restantes,emisor,algoritmo_firma,algoritmo_clave,longitud_clave,calidad,calificacion
20250216_28019312_IES EL LAGO_url_web_Certificado.json,www.educa.madrid.org/ies.ellago.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019351_IES SAN FERNANDO_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.sanfernando.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019464_IES TIRSO DE MOLINA_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.tirsodemolina.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019464_IES TIRSO DE MOLINA_url_web_Certificado.json,www.educa.madrid.org/ies.tirsodemolina.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019889_IES LOPE DE VEGA_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.lopedevega.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019889_IES LOPE DE VEGA_url_web_Certificado.json,www.educa.madrid.org/ies.lopedevega.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019971_IES BARAJAS_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.barajas.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019971_IES BARAJAS_url_web_Certificado.json,www.educa.madrid.org/ies.barajas.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020119_IES GREGORIO MARAÑON_url_aula_Certificado.json,aulavirtual35.educa.madrid.org/ies.gregoriomaranon.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020119_IES GREGORIO MARAÑON_url_web_Certificado.json,www.educa.madrid.org/ies.gregoriomaranon.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020201_IES BARRIO SIMANCAS_url_aula_Certificado.json,aulavirtual35.educa.madrid.org/ies.barriosimancas.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020201_IES BARRIO SIMANCAS_url_web_Certificado.json,www.educa.madrid.org/ies.barriosimancas.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020341_IES VIRGEN DE LA PALOMA_url_aula_Certificado.json,aulavirtual35.educa.madrid.org/ies.lapaloma.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020341_IES VIRGEN DE LA PALOMA_url_web_Certificado.json,www.educa.madrid.org/ies.lapaloma.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020545_IES CONDE DE ORGAZ_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.condedeorgaz.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020545_IES CONDE DE ORGAZ_url_web_Certificado.json,www.educa.madrid.org/ies.condedeorgaz.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020557_IES CARLOS III_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.carlostercero.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020557_IES CARLOS III_url_web_Certificado.json,www.educa.madrid.org/ies.carlostercero.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020570_IES SAN BLAS_url_aula_Certificado.json,aulavirtual36.educa.madrid.org/ies.sanblas.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020570_IES SAN BLAS_url_web_Certificado.json,www.educa.madrid.org/ies.sanblas.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020582_IES GÓMEZ MORENO_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.gomezmoreno.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020582_IES GÓMEZ MORENO_url_web_Certificado.json,www.educa.madrid.org/ies.gomezmoreno.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
