fichero,url,performance,best-practices,seo,calificacion
20250330_28019971_IES BARAJAS_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.barajas.madrid/,0.54,0.96,0.66,7.8
20250330_28019971_IES BARAJAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.barajas.madrid,0.56,0.76,1,7.7
20250330_28020119_IES GREGORIO MARAÑON_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.gregoriomaranon.madrid/,0.6,0.96,0.66,7.95
20250330_28020119_IES GREGORIO MARAÑON_url_web_LightHouse.json,http://www.educa.madrid.org/ies.gregoriomaranon.madrid,0.44,0.62,0.85,6.32
20250330_28020201_IES BARRIO SIMANCAS_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.barriosimancas.madrid/,0.59,0.96,0.66,7.92
20250330_28020201_IES BARRIO SIMANCAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.barriosimancas.madrid,0.57,0.79,0.92,7.67
20250330_28020341_IES VIRGEN DE LA PALOMA_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.lapaloma.madrid/,0.59,0.96,0.66,7.92
20250330_28020341_IES VIRGEN DE LA PALOMA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.lapaloma.madrid,0.91,0.76,0.66,7.73
20250330_28020545_IES CONDE DE ORGAZ_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.condedeorgaz.madrid/,0.53,0.96,0.66,7.78
20250330_28020545_IES CONDE DE ORGAZ_url_web_LightHouse.json,http://www.educa.madrid.org/ies.condedeorgaz.madrid,0.58,0.79,1,7.9
20250330_28020557_IES CARLOS III_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.carlostercero.madrid/,0.59,0.96,0.66,7.92
20250330_28020557_IES CARLOS III_url_web_LightHouse.json,http://www.educa.madrid.org/ies.carlostercero.madrid,0.58,0.79,1,7.9
20250330_28020570_IES SAN BLAS_url_aula_LightHouse.json,https://aulavirtual36.educa.madrid.org/ies.sanblas.madrid/,0.58,0.96,0.66,7.9
20250330_28020570_IES SAN BLAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.sanblas.madrid,0.55,0.66,0.85,6.8
20250330_28020582_IES GÓMEZ MORENO_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.gomezmoreno.madrid/,0.62,0.96,0.5,7.6
20250330_28020582_IES GÓMEZ MORENO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.gomezmoreno.madrid,0.23,0.79,0.92,6.83
20250330_28020624_IES REY PASTOR_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.reypastor.madrid/,0.55,0.96,0.66,7.82
20250330_28020624_IES REY PASTOR_url_web_LightHouse.json,http://www.educa.madrid.org/ies.reypastor.madrid,0.36,0.62,0.92,6.3
20250330_28020648_IES VALLECAS I_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.vallecasuno.madrid/,0.65,0.96,0.66,8.07
20250330_28020648_IES VALLECAS I_url_web_LightHouse.json,https://site.educa.madrid.org/ies.vallecasuno.madrid/,0.46,0.96,1,8.45
