instituto,media_ntp,media_certificado,media_lighthouse,media_cabecera,media_general
IES FEDERICO GARCIA LORCA,9.77,4.84,7.54,3.6,6.28
IES CENTRO DE CAPACITACION AGRARIA,9.81,4.84,7.8,3.6,6.33
IES GABRIELA MISTRAL,9.79,4.84,7.83,3.6,6.33
IES ALFONSO MORENO,9.8,4.84,7.82,3.6,6.33
IES GABRIEL CISNEROS,9.78,4.84,7.89,3.6,6.34
IES SEVILLA LA NUEVA,9.79,4.84,7.85,3.6,6.34
IES SAPERE AUDE,9.8,4.84,7.89,3.55,6.33
IES MIGUEL DE CERVANTES,9.76,4.83,7.79,3.6,6.32
IES PROFESOR JULIO PEREZ,9.78,4.84,7.86,3.6,6.34
IES LAS AMERICAS,9.79,4.84,7.81,3.6,6.33
IES ANA MARIA MATUTE,9.78,4.84,7.8,3.6,6.33
IES GASPAR SANZ,9.76,4.84,7.91,3.6,6.34
IES ADOLFO SUAREZ,9.79,4.84,7.87,3.6,6.34
IES RENACIMIENTO,9.79,4.84,7.85,3.6,6.34
IES SIERRA DE GUADARRAMA,9.79,4.84,7.75,3.6,6.32
IES NUMANCIA,9.8,4.84,5.72,3.6,6.02
IES ESCUELA DE HOSTELERIA Y TURISMO,9.79,4.84,7.81,3.6,6.33
IES JOSE SARAMAGO,9.77,4.84,7.88,3.6,6.34
IES ARQUITECTO VENTURA RODRIGUEZ,9.8,4.84,7.85,3.6,6.34
IES BARRIO LORANCA,9.79,4.84,7.91,3.6,6.35
IES EL ALAMO,9.8,4.84,7.91,3.6,6.35
IES SABINO FERNANDEZ CAMPO,9.8,4.84,7.87,3.6,6.34
IES LAZARO CARRETER,9.79,4.84,7.94,3.6,6.35
IES DON PELAYO,9.8,4.84,7.87,3.6,6.34
IES SANTIAGO RUSIÑOL,9.79,4.84,7.78,3.6,6.32
IES MAESTRO MATIAS BRAVO,9.79,4.84,7.74,3.6,6.32
IES FRANCISCO UMBRAL,9.8,4.84,7.98,3.6,6.36
IES VILLAVERDE,9.77,4.84,7.8,3.6,6.32
IES ANTARES,9.77,4.84,8.02,3.6,6.36
IES GONZALO ANES,9.8,4.84,7.57,3.6,6.3
IES CAMPO REAL,9.81,4.84,7.64,3.6,6.31
IES FERNANDO FERNAN GOMEZ,9.78,4.84,7.88,3.6,6.34
IES JIMENA MENENDEZ PIDAL,9.79,4.84,7.83,3.6,6.33
IES NICOLAS COPERNICO,9.79,4.84,7.41,3.6,6.27
IES CORTES DE CADIZ,9.78,4.84,7.83,3.6,6.33
IES LA SENDA,9.78,4.84,7.85,3.6,6.34
IES PEDRO DUQUE,9.77,4.84,7.83,3.6,6.33
IES MANUEL FRAGA IRIBARNE,9.79,4.84,6.45,3.6,6.13
IES JORGE GUILLEN,9.78,4.84,7.89,3.6,6.34
IES GONZALO CHACON,9.81,4.84,7.77,3.6,6.33
IES JOSE LUIS LOPEZ ARANGUREN,9.77,4.84,7.69,3.6,6.31
IES NEIL ARMSTRONG,9.79,4.84,7.63,3.6,6.31
IES PEDRO SALINAS,9.79,4.84,7.49,3.6,6.28
IES MENENDEZ PELAYO,9.8,4.84,6.75,3.6,6.17
IES JUAN GRIS,9.8,4.82,7.79,3.6,6.33
IES RAFAEL FRÜHBECK DE BURGOS,9.8,4.84,7.76,3.6,6.33
IES SOR JUANA DE LA CRUZ,9.8,4.84,7.9,3.6,6.35
IES JOSE GARCIA NIETO,9.78,4.84,7.83,3.6,6.33
IES ALFREDO KRAUS,9.8,4.84,7.59,3.6,6.3
IES JUAN RAMON JIMÉNEZ,9.79,4.84,7.88,3.6,6.34
IES MARIE CURIE,9.8,4.84,7.85,3.6,6.34
IES MARIA RODRIGO,9.78,4.84,7.87,3.6,6.34
IES MONTSERRAT CABALLE,9.77,4.84,7.78,3.6,6.32
IES MALALA YOUSAFZAI,9.78,4.84,7.91,3.6,6.34
IES SIMONE VEIL,9.79,4.84,7.06,3.6,6.22
IES GLORIA FUERTES,9.77,4.84,7.89,3.6,6.34
IES ELISA SORIANO FISCHER,9.76,4.84,7.93,3.6,6.34
IES ANTONIO FRAGUAS FORGES,9.78,4.84,7.64,3.6,6.3
IES JANE GOODALL,9.78,4.84,7.86,3.6,6.34
IES ANA FRANK,9.78,4.84,7.47,3.6,6.28
IES FRANCISCA DE PEDRAZA,9.8,4.84,7.89,3.6,6.35
IES JUAN BAUTISTA MONEGRO,9.8,4.84,7.81,3.6,6.33
IES JOSE PEDRO PEREZ LLORCA,9.78,4.84,6.84,2.7,5.87
IES BLANCA FERNANDEZ OCHOA,9.75,4.84,7.77,3.6,6.31
IES TORCUATO FERNANDEZ MIRANDA,9.8,4.84,7.74,3.6,6.32
IES CENTRO INTEGRAL DE FORMACION PROFESIONAL A DISTANCIA IGNACIO ELLACURIA,9.79,4.84,7.74,3.6,6.32
IES ISIDRA DE GUZMAN,9.79,4.84,7.92,3.6,6.35
IES MARIA GOYRI GOYRI,9.79,4.84,7.69,3.6,6.31
IES  EL BOALO,9.82,4.78,6.78,2.7,5.85
IES ISIDRA DE GUZMÁN,9.79,4.81,7.91,3.6,6.34
IES LA CAÑADA (CEPA COSLADA),9.8,4.81,7.69,3.6,6.31
IES PEREZ GALDOS,9.68,4.81,7.83,3.6,6.3
IES JOSÉ LUIS LÓPEZ ARANGUREN,9.79,4.81,7.79,3.6,6.32
IES ALBENIZ,9.77,4.81,0.0,2.7,4.83
